%  CALIOP   MODIS   Retrieved
    0.12    29.77      NaN
    0.08    17.43      NaN
    0.04    17.39      NaN
    0.04    12.10      NaN
    0.04    17.79      NaN
    0.04    20.70     0.26
    0.12    26.51      NaN
    1.20    24.99     0.58
    0.55    19.44     0.65
    0.14    23.70      NaN
    0.42    13.50     1.03
    0.27    17.26     0.65
    1.88    16.88     0.74
    0.51    13.81     0.80
    0.36     3.61      NaN
    0.32     5.43     1.14
    0.25    12.16     0.73
    0.15    28.64     1.09
    0.18    20.68     0.51
    0.24    29.96     0.72
    0.23    29.52     0.35
    0.24    18.39     0.52
    0.03    22.32     0.98
    0.03    30.40     0.46
    0.31    27.09     0.08
    0.04    50.96     0.47
    0.04    51.92      NaN
    0.04    31.87      NaN
    0.84    23.05     0.55
    0.18    27.30      NaN
    1.52    14.22     1.89
    1.64    13.02     1.41
    0.56    11.53     2.24
    1.20    14.94     1.67
    1.92     9.44     1.44
    1.54     8.08     1.36
    4.03     9.27     1.47
    1.08    11.44     1.46
    0.78     7.83     3.77
    1.01    13.04     1.19
    0.37      NaN     1.29
    0.50     9.29     1.71
    1.04     7.89     1.53
    2.38    13.08     0.69
    0.97    10.09     1.59
    3.84    15.80     1.01
    0.17     7.24     2.00
    2.41     9.85     1.94
    0.42     7.18     0.90
    0.11    12.12     0.72
    0.44      NaN     2.63
    1.82     4.18     2.31
    1.09     3.41     2.30
    0.70     2.21     2.20
    1.72     4.73     1.27
    1.92     5.90     2.38
